ลำดับ,โรงเรียน,สังกัด,อำเภอ,รุ่นที่,ปีที่เข้าร่วม,หลักสูตรประเภทที่ 1,หลักสูตรประเภทที่ 2,หลักสูตรประเภทที่ 3,หลักสูตรประเภทที่ 4,ปีที่อนุมัติหลักสูตร
1,ชุมชนบ้านบวกครกน้อย,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2567
2,เทพเสด็จวิทยา,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2567
3,บ้านตลาดขี้เหล็ก,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2566
4,บ้านโป่งน้อย,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 1,2562,,,ประเภทที่ 3,,ปี 2565
5,หมู่บ้านสหกรณ์ 2,สพป.เชียงใหม่ เขต 1,แม่ออน,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2566
6,คำเที่ยงอนุสสรณ์,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2567
7,แม่คือวิทยา,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 2,2563,,,ประเภทที่ 3,,ปี 2564
8,แม่โป่งประชาสามัคคี,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2566
9,วัดข่วงสิงห์,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2567
10,ศรีเนห์รู,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2567
11,อนุบาลเชียงใหม่,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 2,2563,,,ประเภทที่ 3,,ปี 2566
12,ทาเหนือวิทยา,สพป.เชียงใหม่ เขต 1,แม่ออน,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2568
13,บ้านเชิงดอยสุเทพ,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
14,บ้านบวกค้าง,สพป.เชียงใหม่ เขต 1,สันกำแพง,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
15,บ้านป่าเสร้า,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
16,บ้านป่าเหมือด,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2568
17,บ้านแม่หวาน,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
18,บ้านแม่ฮ้อยเงิน,สพป.เชียงใหม่ เขต 1,ดอยสะเก็ด,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2568
19,บ้านออนกลาง,สพป.เชียงใหม่ เขต 1,แม่ออน,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
20,วัดเจ็ดยอด,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2568
21,วัดเปาสามขา,สพป.เชียงใหม่ เขต 1,แม่ออน,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
22,วัดร้องวัวแดงศรีจันทร์วิทยาคาร,สพป.เชียงใหม่ เขต 1,สันกำแพง,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
23,สันกำแพงคันธาอนุสรณ์,สพป.เชียงใหม่ เขต 1,สันกำแพง,รุ่นที่ 3,2566(2),ประเภทที่ 1,,,,ปี 2569
24,พุทธิโศภน,สพป.เชียงใหม่ เขต 1,เมืองเชียงใหม่,รุ่นที่ 3,2567(1),ประเภทที่ 1,,,,ปี 2568
25,บ้านเมืองกื้ด,สพป.เชียงใหม่ เขต 2,แม่แตง,รุ่นที่ 1,2562,,,ประเภทที่ 3,,ปี 2565
26,บ้านหนองไคร้,สพป.เชียงใหม่ เขต 2,สันทราย,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2565
27,บ้านหนองปลามัน,สพป.เชียงใหม่ เขต 2,แม่ริม,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2565
28,พร้าวบูรพา,สพป.เชียงใหม่ เขต 2,พร้าว,รุ่นที่ 1,2562,ประเภทที่ 1,,,,ปี 2565
29,วัดแม่แก้ดน้อย,สพป.เชียงใหม่ เขต 2,สันทราย,รุ่นที่ 1,2562,,,ประเภทที่ 3,,ปี 2565
30,ชุมชนวัดช่อแล,สพป.เชียงใหม่ เขต 2,แม่แตง,รุ่นที่ 2,2563,,,ประเภทที่ 3,,ปี 2565
31,บ้านต้นรุง,สพป.เชียงใหม่ เขต 2,พร้าว,รุ่นที่ 2,2563,,,ประเภทที่ 3,,ปี 2565
32,บ้านนาบุญโหล่งขอด,สพป.เชียงใหม่ เขต 2,พร้าว,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2565
33,บ้านบ่อแก้ว,สพป.เชียงใหม่ เขต 2,สะเมิง,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2565
34,บ้านป่าตุ้ม,สพป.เชียงใหม่ เขต 2,พร้าว,รุ่นที่ 2,2563,,,ประเภทที่ 3,,ปี 2565
35,บ้านพระนอน,สพป.เชียงใหม่ เขต 2,แม่ริม,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2565
36,บ้านแม่โจ้,สพป.เชียงใหม่ เขต 2,สันทราย,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2565
37,บ้านสะลวงนอก,สพป.เชียงใหม่ เขต 2,แม่ริม,รุ่นที่ 2,2563,ประเภทที่ 1,,,,ปี 2565
